[I 240516 11:16:30 stock:51] on open
[I 240516 11:16:30 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6481198, 'exchange_timestamp': 1715838391000, 'last_traded_price': 4745870, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:30 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6481644, 'exchange_timestamp': 1715838391000, 'last_traded_price': 4745920, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:31 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6481922, 'exchange_timestamp': 1715838392000, 'last_traded_price': 4745905, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:32 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6482369, 'exchange_timestamp': 1715838392000, 'last_traded_price': 4745930, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:32 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6482631, 'exchange_timestamp': 1715838393000, 'last_traded_price': 4745800, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:33 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6483330, 'exchange_timestamp': 1715838394000, 'last_traded_price': 4745710, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:33 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6483835, 'exchange_timestamp': 1715838394000, 'last_traded_price': 4745720, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:34 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6484125, 'exchange_timestamp': 1715838395000, 'last_traded_price': 4745870, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:35 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6484555, 'exchange_timestamp': 1715838395000, 'last_traded_price': 4745935, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:35 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6484825, 'exchange_timestamp': 1715838396000, 'last_traded_price': 4745765, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:35 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6485242, 'exchange_timestamp': 1715838396000, 'last_traded_price': 4745840, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:36 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6485522, 'exchange_timestamp': 1715838397000, 'last_traded_price': 4745840, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:37 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6485920, 'exchange_timestamp': 1715838397000, 'last_traded_price': 4745935, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:37 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6486191, 'exchange_timestamp': 1715838398000, 'last_traded_price': 4745735, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:37 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6486592, 'exchange_timestamp': 1715838398000, 'last_traded_price': 4745835, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:38 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6486858, 'exchange_timestamp': 1715838399000, 'last_traded_price': 4745725, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:39 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6487331, 'exchange_timestamp': 1715838399000, 'last_traded_price': 4745890, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:39 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6487592, 'exchange_timestamp': 1715838400000, 'last_traded_price': 4745725, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:39 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6488014, 'exchange_timestamp': 1715838400000, 'last_traded_price': 4745930, 'subscription_mode_val': 'LTP'}
